C,DBE 1,DBE,H,KMD,N,O,S,class,intensity 1,intensity,isotope kind,m/z,ppm,s/n,theo
25,12,12,27,0.474780569,,14,,O14,55024351,55024351,,551.14101,-0.693144509,91,551.140628
29,16,16,27,0.459541404,,11,,O11,14363337,14363337,,551.15626,-0.681876236,22.2,551.1558842
26,11,11,31,0.438435797,,13,,O13,79319723,79319723,,551.17734,-0.592586577,132.1,551.1770134
30,15,15,31,0.423196632,,10,,O10,10960534,10960534,,551.19256,-0.526894363,16.4,551.1922696
27,10,10,35,0.402091025,,12,,O12,67617400,67617400,,551.21373,-0.600892687,112.3,551.2133988
31,14,14,35,0.386851861,,9,,O9,5808481,5808481,,551.22926,-1.097584631,7.7,551.228655
28,9,9,39,0.365746254,,11,,O11,26646084,26646084,,551.25015,-0.663619489,43,551.2497842
29,8,8,43,0.329401482,,10,,O10,8010512,8010512,,551.28659,-0.76261681,11.5,551.2861696
26,18,18,18,0.538093252,1,13,,N1O13,8601262,8601262,,552.0788,-0.792677507,12.5,552.0783624
23,13,13,22,0.516987645,1,15,,N1O15,5691153,5691153,,552.09937,0.220213751,7.5,552.0994916
27,17,17,22,0.50174848,1,12,,N1O12,5615226,5615226,,552.11508,-0.601722923,7.4,552.1147478
24,12,12,26,0.480642873,1,14,,N1O14,4953437,4953437,,552.1357,0.320536859,6.3,552.135877
25,19,19,13,0.591521184,,15,,O15,19232373,19232373,,553.02584,0.275900052,30.4,553.0259926
22,14,14,17,0.570415577,,17,,O17,21250135,21250135,,553.04715,-0.051026574,33.9,553.0471218
26,18,18,17,0.555176412,,14,,O14,32730178,32730178,,553.06221,0.303726861,53.3,553.062378
23,13,13,21,0.534070805,,16,,O16,37212196,37212196,,553.08358,-0.131662035,60.8,553.0835072
27,17,17,21,0.51883164,,13,,O13,28993551,28993551,,553.09873,0.060350704,46.9,553.0987634
24,12,12,25,0.497726033,,15,,O15,38223857,38223857,,553.11992,-0.04957352,62.6,553.1198926
28,16,16,25,0.482486869,,12,,O12,25550812,25550812,,553.13513,0.033951739,41.1,553.1351488
25,11,11,29,0.461381262,,14,,O14,51470270,51470270,,553.15626,0.032504196,85,553.156278
29,15,15,29,0.446142097,,11,,O11,19701672,19701672,,553.1716,-0.11898678,31.2,553.1715342
26,10,10,33,0.42503649,,13,,O13,52406155,52406155,,553.19275,-0.156582156,86.5,553.1926634
30,14,14,33,0.409797325,,10,,O10,16174965,16174965,,553.20793,-0.018835775,25.3,553.2079196
27,9,9,37,0.388691718,,12,,O12,29180759,29180759,,553.22915,-0.182962374,47.3,553.2290488
31,13,13,37,0.373452553,,9,,O9,7379522,7379522,,553.2443,0.009001268,10.4,553.244305
28,8,8,41,0.352346947,,11,,O11,8180772,8180772,,553.26573,-0.534680249,11.7,553.2654342
25,18,18,16,0.561038716,1,14,,N1O14,9806030,9806030,,554.05771,-0.14984019,14.5,554.057627
26,17,17,20,0.524693944,1,13,,N1O13,9357467,9357467,,554.09442,-0.735651515,13.7,554.0940124
27,16,16,24,0.488349173,1,12,,N1O12,5414888,5414888,,554.13073,-0.599534155,7.1,554.1303978
24,19,19,11,0.614466648,,16,,O16,10357671,10357671,,555.00569,-0.779848649,15.8,555.0052572
25,18,18,15,0.578121877,,15,,O15,40441205,40441205,,555.0419,-0.463785201,67.9,555.0416426
22,13,13,19,0.55701627,,17,,O17,19522904,19522904,,555.06321,-0.789496472,31.7,555.0627718
26,17,17,19,0.541777105,,14,,O14,43674947,43674947,,555.07842,-0.706243231,73.4,555.078028
23,12,12,23,0.520671498,,16,,O16,27002150,27002150,,555.09943,-0.491479939,44.6,555.0991572
27,16,16,23,0.505432333,,13,,O13,33535249,33535249,,555.11465,-0.42625465,55.9,555.1144134
24,11,11,27,0.484326726,,15,,O15,29593843,29593843,,555.13583,-0.517747609,49.1,555.1355426
28,15,15,27,0.469087562,,12,,O12,32408798,32408798,,555.15102,-0.398486502,54,555.1507988
25,10,10,31,0.447981955,,14,,O14,33739969,33739969,,555.17215,-0.399912331,56.3,555.171928
29,14,14,31,0.43274279,,11,,O11,29539500,29539500,,555.18744,-0.46078171,49,555.1871842
26,9,9,35,0.411637183,,13,,O13,25318543,25318543,,555.20853,-0.390160044,41.7,555.2083134
30,13,13,35,0.396398018,,10,,O10,21695610,21695610,,555.22378,-0.378982651,35.4,555.2235696
27,8,8,39,0.375292411,,12,,O12,9105501,9105501,,555.24474,-0.074237719,13.6,555.2446988
31,12,12,39,0.360053246,,9,,O9,7220295,7220295,,555.26011,-0.279184729,10.4,555.259955
25,17,17,18,0.547639409,1,14,,N1O14,6381033,6381033,,556.0732,0.138434813,8.9,556.073277
26,16,16,22,0.511294637,1,13,,N1O13,6486968,6486968,,556.10942,0.435849108,9.1,556.1096624
27,15,15,26,0.474949865,1,12,,N1O12,5050886,5050886,,556.14598,0.121874282,6.6,556.1460478
24,18,18,13,0.601067341,,16,,O16,24156896,24156896,,557.02103,-0.220494596,39.7,557.0209072
21,13,13,17,0.579961734,,18,,O18,7766211,7766211,,557.04235,-0.563009754,11.3,557.0420364
25,17,17,17,0.56472257,,15,,O15,57741998,57741998,,557.05745,-0.282592297,97.8,557.0572926
22,12,12,21,0.543616963,,17,,O17,13821074,13821074,,557.07887,-0.804590669,21.8,557.0784218
26,16,16,21,0.528377798,,14,,O14,50999933,50999933,,557.09377,-0.165178862,86.1,557.093678
23,11,11,25,0.507272191,,16,,O16,14553184,14553184,,557.11519,-0.687147595,23.1,557.1148072
27,15,15,25,0.492033026,,13,,O13,44970572,44970572,,557.1302,-0.245221195,75.7,557.1300634
24,10,10,29,0.470927419,,15,,O15,15246896,15246896,,557.15143,-0.426132265,24.3,557.1511926
28,14,14,29,0.455688254,,12,,O12,45427227,45427227,,557.16658,-0.235513284,76.5,557.1664488
25,9,9,33,0.434582647,,14,,O14,15819774,15819774,,557.1877,-0.218992858,25.2,557.187578
29,13,13,33,0.419343483,,11,,O11,44687850,44687850,,557.20293,-0.171966282,75.2,557.2028342
26,8,8,37,0.398237876,,13,,O13,7806926,7806926,,557.22399,-0.047772712,11.4,557.2239634
30,12,12,37,0.382998711,,10,,O10,27102649,27102649,,557.23934,-0.216101264,44.8,557.2392196
